title_x,year,main_genre,director,top_actors,budget,revenue,popularity,vote_average,runtime,success,decade
X-Men: The Last Stand,2006.0,Adventure,Brett Ratner,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",210000000,459359555,3.857526,6.3,104.0,1,2000.0
Monsters University,2013.0,Animation,Dan Scanlon,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",200000000,743559607,89.186492,7.0,104.0,1,2010.0
Transformers: Revenge of the Fallen,2009.0,Science Fiction,Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",150000000,836297228,21.939663,6.0,150.0,1,2000.0
Transformers: Age of Extinction,2014.0,Science Fiction,Michael Bay,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",210000000,1091405097,116.840296,5.8,165.0,1,2010.0
Oz: The Great and Powerful,2013.0,Fantasy,Sam Raimi,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",200000000,491868548,46.985445,5.7,130.0,1,2010.0
The Amazing Spider-Man 2,2014.0,Action,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",200000000,705717432,89.270217,6.5,142.0,1,2010.0
TRON: Legacy,2010.0,Adventure,Joseph Kosinski,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",170000000,400062763,73.79505,6.3,125.0,1,2010.0
Cars 2,2011.0,Animation,John Lasseter,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",200000000,559852396,49.98659,5.8,106.0,1,2010.0
Green Lantern,2011.0,Adventure,Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",200000000,219851172,51.872839,5.1,114.0,1,2010.0
Toy Story 3,2010.0,Animation,Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",200000000,1066969703,59.995418,7.6,103.0,1,2010.0
Terminator Salvation,2009.0,Action,McG,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",200000000,371353001,71.862892,5.9,115.0,1,2000.0
Furious 7,2015.0,Action,James Wan,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",190000000,1506249360,102.322217,7.3,137.0,1,2010.0
World War Z,2013.0,Action,Marc Forster,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",200000000,531865000,81.834855,6.7,116.0,1,2010.0
X-Men: Days of Future Past,2014.0,Action,Bryan Singer,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",250000000,747862775,118.078691,7.5,131.0,1,2010.0
Star Trek Into Darkness,2013.0,Action,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']",190000000,467365246,78.291018,7.4,132.0,1,2010.0
Jack the Giant Slayer,2013.0,Action,Bryan Singer,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']",195000000,197687603,43.349855,5.5,114.0,1,2010.0
The Great Gatsby,2013.0,Drama,Baz Luhrmann,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",105000000,351040419,61.196071,7.3,143.0,1,2010.0
Prince of Persia: The Sands of Time,2010.0,Adventure,Mike Newell,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']",150000000,335154643,62.169881,6.2,116.0,1,2010.0
Pacific Rim,2013.0,Action,Guillermo del Toro,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']",180000000,407602906,56.523205,6.7,131.0,1,2010.0
Transformers: Dark of the Moon,2011.0,Action,Michael Bay,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']",195000000,1123746996,28.529607,6.1,154.0,1,2010.0
Indiana Jones and the Kingdom of the Crystal Skull,2008.0,Adventure,Steven Spielberg,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']",185000000,786636033,75.674458,5.7,122.0,1,2000.0
The Good Dinosaur,2015.0,Adventure,Peter Sohn,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",175000000,331926147,51.692953,6.6,93.0,1,2010.0
Brave,2012.0,Animation,Brenda Chapman,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']",185000000,538983207,125.114374,6.7,93.0,1,2010.0
Star Trek Beyond,2016.0,Action,Justin Lin,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']",185000000,343471816,65.352913,6.6,122.0,1,2010.0
WALL·E,2008.0,Animation,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",180000000,521311860,66.390712,7.8,98.0,1,2000.0
Rush Hour 3,2007.0,Action,Brett Ratner,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",140000000,258022233,22.57178,6.1,91.0,1,2000.0
2012,2009.0,Action,Roland Emmerich,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",200000000,769653595,45.274225,5.6,158.0,1,2000.0
A Christmas Carol,2009.0,Animation,Robert Zemeckis,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']",200000000,325233863,39.744242,6.6,96.0,1,2000.0
Jupiter Ascending,2015.0,Science Fiction,Lilly Wachowski,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']",176000003,183987723,85.36908,5.2,124.0,1,2010.0
The Legend of Tarzan,2016.0,Action,David Yates,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz']",180000000,356743061,42.741719,5.5,109.0,1,2010.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0,Adventure,Andrew Adamson,"['William Moseley', 'Anna Popplewell', 'Skandar Keynes']",180000000,748806957,67.391328,6.7,143.0,1,2000.0
X-Men: Apocalypse,2016.0,Science Fiction,Bryan Singer,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",178000000,543934787,139.272042,6.4,144.0,1,2010.0
The Dark Knight,2008.0,Drama,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",185000000,1004558444,187.322927,8.2,152.0,1,2000.0
Up,2009.0,Animation,Pete Docter,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",175000000,735099082,92.201962,7.7,96.0,1,2000.0
Monsters vs Aliens,2009.0,Animation,Conrad Vernon,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie']",175000000,381509870,36.167578,6.0,94.0,1,2000.0
Iron Man,2008.0,Action,Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']",140000000,585174222,120.725053,7.4,126.0,1,2000.0
Hugo,2011.0,Adventure,Martin Scorsese,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield']",170000000,185770160,32.319043,7.0,126.0,1,2010.0
Wild Wild West,1999.0,Action,Barry Sonnenfeld,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']",170000000,222104681,40.748915,5.1,106.0,1,1990.0
The Mummy: Tomb of the Dragon Emperor,2008.0,Adventure,Rob Cohen,"['Brendan Fraser', 'Jet Li', 'John Hannah']",145000000,401128639,60.034162,5.2,112.0,1,2000.0
Suicide Squad,2016.0,Action,David Ayer,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman']",175000000,745000000,90.23792,5.9,123.0,1,2010.0
Evan Almighty,2007.0,Fantasy,Tom Shadyac,"['Steve Carell', 'Lauren Graham', 'John Goodman']",175000000,173000000,27.082182,5.3,96.0,0,2000.0
Edge of Tomorrow,2014.0,Action,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']",178000000,370541256,79.456485,7.6,113.0,1,2010.0
Waterworld,1995.0,Adventure,Kevin Reynolds,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']",175000000,264218220,44.640292,5.9,135.0,1,1990.0
G.I. Joe: The Rise of Cobra,2009.0,Adventure,Stephen Sommers,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans']",175000000,302469017,32.852443,5.6,118.0,1,2000.0
Inside Out,2015.0,Drama,Pete Docter,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind']",175000000,857611174,128.655964,8.0,94.0,1,2010.0
The Jungle Book,2016.0,Family,Jon Favreau,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']",175000000,966550600,94.199316,6.7,106.0,1,2010.0
Iron Man 2,2010.0,Adventure,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",200000000,623933331,77.300194,6.6,124.0,1,2010.0
Snow White and the Huntsman,2012.0,Adventure,Rupert Sanders,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth']",170000000,396600000,77.178973,5.8,127.0,1,2010.0
Maleficent,2014.0,Fantasy,Robert Stromberg,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']",180000000,758539785,110.620647,7.0,97.0,1,2010.0
Dawn of the Planet of the Apes,2014.0,Science Fiction,Matt Reeves,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']",170000000,710644566,243.791743,7.3,130.0,1,2010.0
47 Ronin,2013.0,Drama,Carl Rinsch,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki']",175000000,150962475,41.796339,5.9,119.0,0,2010.0
Captain America: The Winter Soldier,2014.0,Action,Anthony Russo,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']",170000000,714766572,72.225265,7.6,136.0,1,2010.0
Shrek Forever After,2010.0,Comedy,Mike Mitchell,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",165000000,752600867,44.041186,6.0,93.0,1,2010.0
Tomorrowland,2015.0,Adventure,Brad Bird,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy']",190000000,209154322,130.311355,6.2,130.0,1,2010.0
Big Hero 6,2014.0,Adventure,Chris Williams,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']",165000000,652105443,203.73459,7.8,102.0,1,2010.0
Wreck-It Ralph,2012.0,Family,Rich Moore,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']",165000000,471222889,62.341073,7.1,108.0,1,2010.0
The Polar Express,2004.0,Adventure,Robert Zemeckis,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye']",165000000,305875730,47.323228,6.4,100.0,1,2000.0
Independence Day: Resurgence,2016.0,Action,Roland Emmerich,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']",165000000,389681935,48.775723,4.9,120.0,1,2010.0
How to Train Your Dragon,2010.0,Fantasy,Chris Sanders,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson']",165000000,494878759,67.263269,7.5,98.0,1,2010.0
Terminator 3: Rise of the Machines,2003.0,Action,Jonathan Mostow,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes']",200000000,435000000,69.405188,5.9,109.0,1,2000.0
Guardians of the Galaxy,2014.0,Action,James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']",170000000,773328629,481.098624,7.9,121.0,1,2010.0
Interstellar,2014.0,Adventure,Christopher Nolan,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']",165000000,675120017,724.247784,8.1,169.0,1,2010.0
Inception,2010.0,Action,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']",160000000,825532764,167.58371,8.1,148.0,1,2010.0
Shin Godzilla,2016.0,Action,Hideaki Anno,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']",15000000,77000000,9.476999,6.5,120.0,1,2010.0
The Hobbit: An Unexpected Journey,2012.0,Adventure,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']",250000000,1021103568,108.849621,7.0,169.0,1,2010.0
The Fast and the Furious,2001.0,Action,Rob Cohen,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez']",38000000,207283925,6.909942,6.6,106.0,1,2000.0
The Curious Case of Benjamin Button,2008.0,Fantasy,David Fincher,"['Cate Blanchett', 'Brad Pitt', 'Tilda Swinton']",150000000,333932083,60.269279,7.3,166.0,1,2000.0
X-Men: First Class,2011.0,Action,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",160000000,353624124,3.195174,7.1,132.0,1,2010.0
The Hunger Games: Mockingjay - Part 2,2015.0,Action,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",160000000,653428261,127.284427,6.6,137.0,1,2010.0
The Sorcerer's Apprentice,2010.0,Fantasy,Jon Turteltaub,"['Nicolas Cage', 'Jay Baruchel', 'Monica Bellucci']",150000000,215283742,35.580815,5.8,109.0,1,2010.0
Poseidon,2006.0,Adventure,Wolfgang Petersen,"['Kurt Russell', 'Richard Dreyfuss', 'Josh Lucas']",160000000,181674817,21.133748,5.5,99.0,1,2000.0
Alice Through the Looking Glass,2016.0,Fantasy,James Bobin,"['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaway']",170000000,299370084,56.268916,6.5,113.0,1,2010.0
Shrek the Third,2007.0,Fantasy,Chris Miller,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",160000000,798958165,42.986467,6.0,93.0,1,2000.0
Warcraft,2016.0,Action,Duncan Jones,"['Paula Patton', 'Travis Fimmel', 'Ben Foster']",160000000,433677183,63.148529,6.3,123.0,1,2010.0
Terminator Genisys,2015.0,Science Fiction,Alan Taylor,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke']",155000000,440603537,202.042635,5.8,126.0,1,2010.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0,Adventure,Michael Apted,"['Skandar Keynes', 'Georgie Henley', 'Simon Pegg']",155000000,415686217,49.661984,6.2,113.0,1,2010.0
Pearl Harbor,2001.0,History,Michael Bay,"['Ben Affleck', 'Josh Hartnett', 'Kate Beckinsale']",140000000,449220945,34.20669,6.6,183.0,1,2000.0
Transformers,2007.0,Adventure,Michael Bay,"['Shia LaBeouf', 'Josh Duhamel', 'Megan Fox']",150000000,709709780,25.468493,6.6,144.0,1,2000.0
Alexander,2004.0,War,Oliver Stone,"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer']",155000000,167298192,39.019229,5.6,175.0,1,2000.0
Harry Potter and the Order of the Phoenix,2007.0,Adventure,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",150000000,938212738,78.144395,7.4,138.0,1,2000.0
Harry Potter and the Goblet of Fire,2005.0,Adventure,Mike Newell,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",150000000,895921036,101.250416,7.5,157.0,1,2000.0
Hancock,2008.0,Fantasy,Peter Berg,"['Will Smith', 'Charlize Theron', 'Jason Bateman']",150000000,624029371,56.758411,6.2,92.0,1,2000.0
I Am Legend,2007.0,Drama,Francis Lawrence,"['Will Smith', 'Alice Braga', 'Charlie Tahan']",150000000,585349010,70.867401,6.9,101.0,1,2000.0
Charlie and the Chocolate Factory,2005.0,Adventure,Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']",150000000,474968763,53.905592,6.7,115.0,1,2000.0
Ratatouille,2007.0,Animation,Jan Pinkava,"['Patton Oswalt', 'Ian Holm', 'Lou Romano']",150000000,623722818,65.677399,7.5,111.0,1,2000.0
Batman Begins,2005.0,Action,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Liam Neeson']",150000000,374218673,115.040024,7.5,140.0,1,2000.0
Madagascar: Escape 2 Africa,2008.0,Family,Eric Darnell,"['Ben Stiller', 'Jada Pinkett Smith', 'David Schwimmer']",150000000,603900354,44.141021,6.2,89.0,1,2000.0
Night at the Museum: Battle of the Smithsonian,2009.0,Adventure,Shawn Levy,"['Ben Stiller', 'Amy Adams', 'Owen Wilson']",150000000,413106170,81.781591,5.9,105.0,1,2000.0
X-Men Origins: Wolverine,2009.0,Adventure,Gavin Hood,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston']",150000000,373062864,5.954334,6.2,107.0,1,2000.0
The Matrix Revolutions,2003.0,Adventure,Lilly Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",150000000,424988211,73.313918,6.4,129.0,1,2000.0
Frozen,2013.0,Animation,Chris Buck,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']",150000000,1274219009,165.125366,7.3,102.0,1,2010.0
The Matrix Reloaded,2003.0,Adventure,Lilly Wachowski,"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence Fishburne']",150000000,738599701,70.78591,6.7,138.0,1,2000.0
Thor: The Dark World,2013.0,Action,Alan Taylor,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",170000000,644571402,99.499595,6.8,112.0,1,2010.0
Mad Max: Fury Road,2015.0,Action,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",150000000,378858340,434.278564,7.2,120.0,1,2010.0
Angels & Demons,2009.0,Thriller,Ron Howard,"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer']",150000000,356613439,67.447636,6.5,138.0,1,2000.0
Thor,2011.0,Adventure,Kenneth Branagh,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",150000000,449326618,86.493424,6.6,115.0,1,2010.0
Bolt,2008.0,Animation,Chris Williams,"['John Travolta', 'Miley Cyrus', 'Susie Essman']",150000000,309979994,41.845878,6.3,98.0,1,2000.0
G-Force,2009.0,Fantasy,Hoyt Yeatman,"['Sam Rockwell', 'Penélope Cruz', 'Tracy Morgan']",150000000,292817841,26.710398,5.1,88.0,1,2000.0
Wrath of the Titans,2012.0,Adventure,Jonathan Liebesman,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']",150000000,301000000,44.927635,5.5,99.0,1,2010.0
Dark Shadows,2012.0,Comedy,Tim Burton,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter']",150000000,245527149,50.306728,5.7,113.0,1,2010.0
Mission: Impossible - Rogue Nation,2015.0,Action,Christopher McQuarrie,"['Tom Cruise', 'Rebecca Ferguson', 'Simon Pegg']",150000000,682330139,114.522237,7.1,131.0,1,2010.0
Bee Movie,2007.0,Family,Steve Hickner,"['Jerry Seinfeld', 'Renée Zellweger', 'Jim Cummings']",150000000,287594577,29.332905,5.7,91.0,1,2000.0
Kung Fu Panda 2,2011.0,Animation,Jennifer Yuh Nelson,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman']",150000000,665692281,51.247321,6.7,91.0,1,2010.0
The Last Airbender,2010.0,Action,M. Night Shyamalan,"['Noah Ringer', 'Nicola Peltz', 'Jackson Rathbone']",150000000,318502923,33.769336,4.7,103.0,1,2010.0
Mission: Impossible III,2006.0,Adventure,J.J. Abrams,"['Tom Cruise', 'Philip Seymour Hoffman', 'Ving Rhames']",150000000,397850012,63.079003,6.5,126.0,1,2000.0
White House Down,2013.0,Action,Roland Emmerich,"['Channing Tatum', 'Jamie Foxx', 'Joey King']",150000000,205366737,39.004588,6.4,131.0,1,2010.0
Mars Needs Moms,2011.0,Adventure,Simon Wells,"['Seth Green', 'Joan Cusack', 'Dan Fogler']",150000000,38992758,12.362599,5.5,88.0,0,2010.0
Flushed Away,2006.0,Adventure,David Bowers,"['Hugh Jackman', 'Kate Winslet', 'Ian McKellen']",149000000,64459316,22.550135,6.0,85.0,0,2000.0
Pan,2015.0,Adventure,Joe Wright,"['Levi Miller', 'Garrett Hedlund', 'Hugh Jackman']",150000000,128388320,48.03528,5.9,111.0,0,2010.0
Mr. Peabody & Sherman,2014.0,Animation,Rob Minkoff,"['Ty Burrell', 'Max Charles', 'Ariel Winter']",145000000,272912430,38.73494,6.7,92.0,1,2010.0
Troy,2004.0,Adventure,Wolfgang Petersen,"['Brad Pitt', 'Orlando Bloom', 'Eric Bana']",175000000,497409852,66.803149,6.9,163.0,1,2000.0
Madagascar 3: Europe's Most Wanted,2012.0,Animation,Conrad Vernon,"['Ben Stiller', 'Sacha Baron Cohen', 'David Schwimmer']",145000000,746921274,44.989192,6.4,93.0,1,2010.0
Die Another Day,2002.0,Adventure,Lee Tamahori,"['Pierce Brosnan', 'Halle Berry', 'Rosamund Pike']",140000000,431971116,54.159392,5.8,133.0,1,2000.0
Ghostbusters,2016.0,Action,Paul Feig,"['Melissa McCarthy', 'Kristen Wiig', 'Kate McKinnon']",144000000,229147509,66.21806,5.3,116.0,1,2010.0
Armageddon,1998.0,Action,Michael Bay,"['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck']",140000000,553799566,58.485967,6.4,151.0,1,1990.0
Men in Black II,2002.0,Action,Barry Sonnenfeld,"['Tommy Lee Jones', 'Will Smith', 'Rip Torn']",140000000,441818803,91.332849,6.0,88.0,1,2000.0
Beowulf,2007.0,Adventure,Robert Zemeckis,"['Ray Winstone', 'Angelina Jolie', 'Anthony Hopkins']",70000000,195735876,35.601665,5.5,115.0,1,2000.0
Kung Fu Panda 3,2016.0,Action,Jennifer Yuh Nelson,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman']",145000000,521170825,56.747978,6.7,95.0,1,2010.0
Mission: Impossible - Ghost Protocol,2011.0,Action,Brad Bird,"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg']",145000000,694713380,77.77477,6.8,133.0,1,2010.0
Rise of the Guardians,2012.0,Fantasy,Peter Ramsey,"['Chris Pine', 'Alec Baldwin', 'Jude Law']",145000000,306941670,61.788035,7.1,97.0,1,2010.0
Fun with Dick and Jane,2005.0,Comedy,Dean Parisot,"['Jim Carrey', 'Téa Leoni', 'Alec Baldwin']",100000000,202026112,25.159168,5.9,90.0,1,2000.0
The Last Samurai,2003.0,Drama,Edward Zwick,"['Tom Cruise', 'Ken Watanabe', 'William Atherton']",140000000,456758981,52.341226,7.3,154.0,1,2000.0
Exodus: Gods and Kings,2014.0,Adventure,Ridley Scott,"['Christian Bale', 'Joel Edgerton', 'John Turturro']",140000000,268031828,101.599427,5.6,150.0,1,2010.0
